"性別","100万円以下","100万円～","200万円～","300万円～","400万円～","500万円～","600万円～","700万円～","800万円～","900万円～","1000万円～1500万円","1500万円～2000万円","2000万円～2500万円","2500万円以上","NA"
1,"男",0.032961065,0.065582674,0.110051258,0.172748566,0.177908279,0.135069079,0.091720697,0.064530364,0.043925456,0.028480261,0.055908211,0.012050647,0.003937676,0.005125768
2,"女",0.150278739,0.237889273,0.210255671,0.172001153,0.107698962,0.056180315,0.028258362,0.014898116,0.007497116,0.004469435,0.007545175,0.001826221,0.000576701,0.00062476
